time,yaw_degrees
1878.14,0
1878.14,-1.50449e-09
1878.14,-3.00897e-09
1878.14,-4.51342e-09
1878.14,-6.01785e-09
1878.14,-7.52226e-09
1878.14,-9.02664e-09
1878.14,-1.0531e-08
1878.15,-1.20354e-08
1878.15,-1.35397e-08
1878.15,-1.5044e-08
1878.15,-1.65483e-08
1878.15,-1.80526e-08
1878.15,-1.95569e-08
1878.15,-2.40696e-08
1878.15,-2.55738e-08
1878.15,-2.70779e-08
1878.16,-2.85821e-08
1878.16,-3.00862e-08
1878.16,-3.15903e-08
1878.16,-3.30944e-08
1878.16,-3.45985e-08
1878.16,-3.61026e-08
1878.16,-3.76066e-08
1878.16,-3.91106e-08
1878.16,-4.06146e-08
1878.16,-4.21186e-08
1878.17,-4.36225e-08
1878.17,-4.51265e-08
1878.17,-4.66304e-08
1878.17,-4.81343e-08
1878.17,-4.96382e-08
1878.17,-5.1142e-08
1878.17,-5.26459e-08
1878.17,-5.41497e-08
1878.17,-5.56535e-08
1878.17,-5.71572e-08
1878.18,-5.8661e-08
1878.18,-6.01647e-08
1878.18,-6.16685e-08
1878.18,-6.31721e-08
1878.18,-6.46758e-08
1878.18,-6.61795e-08
1878.18,-6.76831e-08
1878.18,-6.91868e-08
1878.18,-7.06904e-08
1878.18,-7.2194e-08
1878.18,-7.36976e-08
1878.19,-7.52011e-08
1878.19,-7.67046e-08
1878.19,-7.82081e-08
1878.19,-7.97116e-08
1878.19,-8.12151e-08
1878.19,-8.27186e-08
1878.19,-8.4222e-08
1878.19,-8.57254e-08
1878.19,-8.72288e-08
1878.2,-8.87322e-08
1878.2,-9.02355e-08
1878.2,-9.17389e-08
1878.2,-9.32422e-08
1878.2,-9.47455e-08
1878.2,-9.62488e-08
1878.2,-9.77521e-08
1878.2,-1.00759e-07
1878.2,-1.02262e-07
1878.21,-1.03765e-07
1878.21,-1.05268e-07
1878.21,-1.06771e-07
1878.21,-1.08275e-07
1878.21,-1.09778e-07
1878.21,-1.11281e-07
1878.21,-1.12784e-07
1878.21,-1.14287e-07
1878.21,-1.1579e-07
1878.21,-1.17293e-07
1878.21,-1.18796e-07
